interval,CL
"(3.0, 3.1]",11
"(3.2, 3.3]",11
"(3.1, 3.2]",12
"(3.3, 3.4]",17
"(3.6, 3.7]",20
"(3.7, 3.8]",25
"(3.4, 3.5]",27
"(3.8, 3.9]",30
"(3.5, 3.6]",31
"(4.2, 4.3]",38
"(3.9, 4.0]",40
"(4.0, 4.1]",45
"(4.1, 4.2]",45
"(4.4, 4.5]",46
"(5.2, 5.3]",66
"(4.3, 4.4]",69
"(5.5, 5.6]",72
"(4.5, 4.6]",73
"(4.6, 4.7]",78
"(4.9, 5.0]",81
"(5.1, 5.2]",82
"(5.4, 5.5]",84
"(5.0, 5.1]",85
"(4.8, 4.9]",86
"(6.2, 6.3]",86
"(4.7, 4.8]",87
"(5.3, 5.4]",95
"(6.6, 6.7]",96
"(6.7, 6.8]",98
"(6.1, 6.2]",100
"(5.9, 6.0]",101
"(7.4, 7.5]",102
"(6.5, 6.6]",102
"(6.3, 6.4]",103
"(5.7, 5.8]",105
"(6.0, 6.1]",106
"(5.8, 5.9]",107
"(7.5, 7.6]",108
"(5.6, 5.7]",110
"(7.7, 7.8]",111
"(6.8, 6.9]",117
"(7.8, 7.9]",119
"(7.6, 7.7]",126
"(7.9, 8.0]",128
"(8.3, 8.4]",134
"(7.3, 7.4]",136
"(8.0, 8.1]",140
"(6.4, 6.5]",144
"(7.2, 7.3]",148
"(8.1, 8.2]",160
"(6.9, 7.0]",162
"(7.0, 7.1]",167
"(8.6, 8.7]",179
"(8.4, 8.5]",180
"(8.2, 8.3]",185
"(7.1, 7.2]",201
"(8.5, 8.6]",227
"(8.8, 8.9]",228
"(9.4, 9.5]",337
"(8.9, 9.0]",342
"(9.5, 9.6]",380
"(8.7, 8.8]",391
"(9.3, 9.4]",442
"(9.6, 9.7]",444
"(9.0, 9.1]",486
"(9.2, 9.3]",488
"(9.1, 9.2]",500
"(9.7, 9.8]",706
"(9.8, 9.9]",1143
"(9.9, 10.0]",1317
